#options: 1916x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=cbr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=4000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:32 out:33 type:b dur:2 cpbdur:2 q:41.14 aq:41.41 tex:33001 mv:37519 misc:4552 imb:973 pmb:2207 smb:4980 d:- ref:0 ;
in:37 out:34 type:P dur:2 cpbdur:2 q:39.88 aq:36.91 tex:140278 mv:56100 misc:4398 imb:2691 pmb:3816 smb:1653 d:s ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:40.98 aq:40.62 tex:52108 mv:48575 misc:4965 imb:1291 pmb:2769 smb:4100 d:s ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:40.98 aq:42.33 tex:35269 mv:38365 misc:4878 imb:934 pmb:2362 smb:4864 d:s ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:40.99 aq:41.79 tex:31369 mv:36568 misc:4335 imb:1030 pmb:1992 smb:5138 d:- ref:0 ;
in:41 out:38 type:P dur:2 cpbdur:2 q:39.29 aq:36.42 tex:150699 mv:56652 misc:4201 imb:2701 pmb:3766 smb:1693 d:s ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:39.98 aq:39.69 tex:59454 mv:48798 misc:4732 imb:1395 pmb:2731 smb:4034 d:s ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:39.97 aq:41.07 tex:36159 mv:37199 misc:4698 imb:910 pmb:2244 smb:5006 d:s ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:39.98 aq:40.48 tex:36151 mv:38712 misc:4545 imb:1204 pmb:2076 smb:4880 d:- ref:0 ;
in:43 out:42 type:P dur:2 cpbdur:2 q:40.04 aq:37.43 tex:89640 mv:48051 misc:5429 imb:1893 pmb:3598 smb:2669 d:s ref:0 ;
in:42 out:43 type:b dur:2 cpbdur:2 q:40.03 aq:41.36 tex:33468 mv:35940 misc:5616 imb:722 pmb:2562 smb:4876 d:t ref:0 ;
in:45 out:44 type:P dur:2 cpbdur:2 q:40.41 aq:37.78 tex:97636 mv:48013 misc:5295 imb:2025 pmb:3328 smb:2807 d:s ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:40.41 aq:41.49 tex:30974 mv:35839 misc:4627 imb:870 pmb:2163 smb:5127 d:t ref:0 ;
in:47 out:46 type:P dur:2 cpbdur:2 q:40.73 aq:38.40 tex:71801 mv:44438 misc:5657 imb:1733 pmb:3327 smb:3100 d:s ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:40.73 aq:41.98 tex:27228 mv:33270 misc:5310 imb:664 pmb:2337 smb:5159 d:t ref:0 ;
in:49 out:48 type:P dur:2 cpbdur:2 q:40.80 aq:38.44 tex:94656 mv:47870 misc:5258 imb:2159 pmb:3152 smb:2849 d:s ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:40.80 aq:41.81 tex:31124 mv:36009 misc:4771 imb:855 pmb:2167 smb:5138 d:s ref:0 ;
in:51 out:50 type:P dur:2 cpbdur:2 q:41.04 aq:39.04 tex:66259 mv:44773 misc:5760 imb:1708 pmb:3312 smb:3140 d:s ref:0 ;
in:50 out:51 type:b dur:2 cpbdur:2 q:41.04 aq:42.38 tex:28210 mv:32819 misc:5507 imb:649 pmb:2335 smb:5176 d:s ref:0 ;
in:53 out:52 type:P dur:2 cpbdur:2 q:41.04 aq:38.99 tex:82462 mv:45488 misc:5114 imb:2371 pmb:2809 smb:2980 d:s ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:41.04 aq:41.88 tex:28169 mv:34116 misc:5123 imb:777 pmb:2185 smb:5198 d:s ref:0 ;
in:55 out:54 type:P dur:2 cpbdur:2 q:41.13 aq:39.71 tex:69051 mv:43127 misc:5502 imb:2100 pmb:2815 smb:3245 d:s ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:41.13 aq:41.91 tex:28783 mv:32248 misc:5601 imb:741 pmb:2279 smb:5140 d:s ref:0 ;
in:57 out:56 type:P dur:2 cpbdur:2 q:41.22 aq:41.13 tex:67883 mv:40312 misc:5261 imb:2412 pmb:2176 smb:3572 d:s ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:41.22 aq:41.95 tex:33094 mv:37314 misc:5640 imb:904 pmb:2428 smb:4828 d:s ref:0 ;
in:58 out:58 type:I dur:2 cpbdur:2 q:37.16 aq:34.31 tex:362070 mv:172565 misc:237 imb:8160 pmb:0 smb:0 d:s ref:;
in:60 out:59 type:P dur:2 cpbdur:2 q:41.20 aq:38.18 tex:52517 mv:36947 misc:5144 imb:2565 pmb:1975 smb:3620 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:41.20 aq:40.23 tex:20045 mv:29681 misc:5186 imb:986 pmb:1672 smb:5502 d:s ref:0 ;
in:62 out:61 type:P dur:2 cpbdur:2 q:41.30 aq:38.34 tex:46471 mv:39265 misc:5688 imb:2411 pmb:2213 smb:3536 d:s ref:0 ;
in:61 out:62 type:b dur:2 cpbdur:2 q:41.30 aq:40.92 tex:21834 mv:30644 misc:5986 imb:889 pmb:2014 smb:5257 d:t ref:0 ;
in:64 out:63 type:P dur:2 cpbdur:2 q:41.33 aq:38.29 tex:57557 mv:40729 misc:5162 imb:2897 pmb:2183 smb:3080 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:41.33 aq:40.59 tex:25285 mv:32391 misc:5332 imb:1161 pmb:1864 smb:5135 d:s ref:0 ;
in:66 out:65 type:P dur:2 cpbdur:2 q:41.39 aq:38.64 tex:53776 mv:41541 misc:5659 imb:2751 pmb:2239 smb:3170 d:s ref:0 ;
in:65 out:66 type:b dur:2 cpbdur:2 q:41.39 aq:41.04 tex:24287 mv:31479 misc:5170 imb:1102 pmb:1860 smb:5198 d:s ref:0 ;
in:68 out:67 type:P dur:2 cpbdur:2 q:41.41 aq:38.61 tex:61490 mv:42730 misc:5436 imb:3163 pmb:2170 smb:2827 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:41.41 aq:41.03 tex:24406 mv:33464 misc:5234 imb:1195 pmb:1943 smb:5022 d:s ref:0 ;
in:70 out:69 type:P dur:2 cpbdur:2 q:41.45 aq:38.80 tex:55730 mv:41964 misc:5682 imb:3061 pmb:2138 smb:2961 d:s ref:0 ;
in:69 out:70 type:b dur:2 cpbdur:2 q:41.45 aq:41.22 tex:27191 mv:34057 misc:5944 imb:1285 pmb:2022 smb:4853 d:s ref:0 ;
in:72 out:71 type:P dur:2 cpbdur:2 q:41.93 aq:39.04 tex:57108 mv:41714 misc:5146 imb:3489 pmb:1995 smb:2676 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:41.93 aq:40.79 tex:25317 mv:33766 misc:5421 imb:1465 pmb:1778 smb:4917 d:s ref:0 ;
in:74 out:73 type:P dur:2 cpbdur:2 q:41.87 aq:39.08 tex:51945 mv:40959 misc:5712 imb:3254 pmb:2001 smb:2905 d:s ref:0 ;
in:73 out:74 type:b dur:2 cpbdur:2 q:41.93 aq:41.41 tex:24383 mv:33559 misc:5522 imb:1324 pmb:1868 smb:4968 d:s ref:0 ;
